,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,Date
,Israel,All Types,5,2,33,5,45,2023-10-09
,Israel,Tanks,1,0,3,2,6,2023-10-09
,Israel,Infantry Mobility Vehicles,0,1,10,1,12,2023-10-09
,Israel,Armored Personnel Carriers,0,0,9,0,9,2023-10-09
,Israel,Command Posts and Communications Stations,0,0,1,0,1,2023-10-09
,Israel,Engineering Vehicles and Equipment,3,0,4,0,7,2023-10-09
,Israel,"Trucks, Vehicles and Jeeps",1,1,6,2,10,2023-10-09
,Hamas,All Types,7,3,0,0,10,2023-10-09
,Hamas,"Trucks, Vehicles and Jeeps",9,3,1,0,13,2023-10-09
,Hamas,Naval Ships,1,0,0,0,1,2023-10-09
